,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,duration,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,audio_clipping:confidence,background_noise_audible:confidence,quiet_speaker:confidence,overall_quality_of_the_audio
0,-2.3467896,5.3559504,-0.2601721,1.7295605,1.4835145,0.35362598,0.08068134,0.30343542,0.4251175,-0.13989177,-1.5234618,0.1627571,-0.05968854,3.4133333333333336,1835.0243378817024,479.51420005869693,0.07058963260135136,0.029884516075275324,0.11971953,0.070458874,1.0,1.0,1.0,3.33
1,-3.3322906,1.8124552,-0.857266,-1.3573395,-1.1327372,0.39972496,-0.8853055,-0.89476216,-0.36238298,-1.1157928,-1.1077714,-1.01543,-0.5886745,2.8160090702947844,1829.3270748345183,1001.6746789203413,0.13509381403688525,0.08035009915042786,0.052169237,0.04723641,1.0,1.0,1.0,4.67
2,-10.281311,7.475102,-1.8114023,-0.4327424,-0.3129467,0.89905065,-0.4292816,-1.0350367,-1.0845246,-1.4657896,-1.0077888,-0.5324083,-2.3015041,1.3653514739229025,1541.8845123700007,321.03825053788546,0.07769465042372882,0.03160527980404966,0.014345195,0.0074222717,1.0,0.6525,1.0,3.67
3,-2.7057776,1.2615974,1.1976786,0.4037238,0.5902134,-0.33255526,-0.65276736,-0.9501648,-1.3924898,-1.2879286,-0.9934554,-1.1841414,-1.094353,10.495419501133787,3423.069011391522,1365.1413512799404,0.1619002655905077,0.131703181033665,0.034643423,0.032862507,1.0,1.0,1.0,4.0
4,-2.661435,3.7820654,-0.4441479,1.3192403,0.44316792,0.7859505,-0.17241001,-0.78816146,-0.6248843,-0.085370824,-1.3447951,-0.0023187243,-0.86896926,8.618684807256235,2065.890427414879,798.7837992963517,0.16369497647849462,0.10080980015050443,0.029455367,0.027219601,0.6627,0.6627,1.0,4.0
5,-2.0215352,4.402737,-0.35650283,1.2198297,0.6118988,0.11618929,0.6615185,0.49847797,-0.21359602,0.04161336,-0.7236803,0.018591834,0.024575679,1.3653514739229025,1859.6778687698616,492.997598079954,0.07252217955508475,0.02895743673597135,0.13261604,0.08474426,1.0,0.6659,1.0,3.33
6,-2.3742163,5.0990005,-0.112542704,1.1618367,2.2168856,2.1605954,0.5554698,0.955068,0.21768495,0.35838494,-0.536371,-0.082073584,-0.2412873,1.7066666666666668,1896.109033388989,318.14331158261956,0.061470650337837836,0.01544572570345014,0.08831952,0.08265648,1.0,0.6663,1.0,3.67
7,-3.9503605,2.5206058,0.77271813,1.6135858,0.03196212,0.9213686,0.07527952,0.23366307,-0.84946686,0.4069864,-0.69287,-0.6401442,-0.15371351,6.570702947845805,1846.691984917281,1050.6456629174638,0.07588201192579505,0.0794644661661239,0.0079290075,0.0069484757,1.0,0.693,1.0,3.33
8,-3.3730502,2.1842237,-0.13464668,1.5544924,1.7454811,-0.2819271,-0.008392232,0.95702296,0.11415631,0.45826706,-0.40338105,1.3999916,0.4048346,4.73687074829932,1532.1121220516434,542.9413437530541,0.03966511051829268,0.04375124887651896,0.03462675,0.024584118,0.6695,0.6542,1.0,3.33
9,-5.8838563,5.2347164,-1.3381324,0.30138636,0.15114044,0.91610587,-1.5398501,-0.9154242,-0.9498915,-1.7074311,-1.6301757,-0.9174004,-1.4164392,6.826666666666667,1880.1148300442844,642.2245199133253,0.07759368379237289,0.050259795409117444,0.022137025,0.011575757,1.0,1.0,1.0,3.0
10,-4.6646333,2.6938262,-0.1701644,1.0558141,-1.6414416,-0.68216723,-1.2708322,-1.6171312,-0.9826745,-2.1453059,-0.7275382,-1.3935268,-2.249258,3.3280272108843536,1613.4809712424722,1017.3700981505341,0.09944661458333333,0.09068956158163734,0.057902176,0.05566411,0.6867,0.3533,0.6867,3.0
11,-4.0964766,3.8990738,1.1671504,1.0059931,-0.004271424,1.1854377,-0.96727926,-0.03647827,-0.9530331,-0.68294793,-0.4160234,-0.3208866,-0.21279988,5.717369614512472,1545.3394185014693,612.3665555212192,0.054007464574898786,0.038145005848304964,0.008611519,0.006587849,1.0,1.0,1.0,4.0
12,-4.287415,1.8172061,-1.0437443,-1.448987,-0.8910905,0.40369055,-1.2056121,-0.8240083,-0.20077863,-1.2949512,-1.2199551,-0.7396796,-0.92360467,4.181360544217687,1748.6952365915772,992.1068846134417,0.1329069190262431,0.08617308847377705,0.025347615,0.02804101,1.0,0.6927,1.0,3.33
13,-8.6109,3.4368424,0.39021987,2.2449055,0.11083403,0.9070758,-0.7185379,-0.3701909,-0.9133372,-0.65460634,-1.2305655,-1.4128723,0.2896527,2.304036281179138,1515.121650450083,1039.5153524226412,0.089130859375,0.1013841776050802,0.050741985,0.047872547,1.0,0.6993,1.0,3.33
14,-1.7779328,4.144511,-0.4361931,1.3899637,1.0002426,0.3181036,-0.2335325,-0.08639932,-0.16322982,-0.22554483,-1.296446,0.0011807074,-0.06554668,2.8160090702947844,1795.608760101425,578.0572197536983,0.07960585297131148,0.038418673166891806,0.17208089,0.07462143,0.6607,1.0,0.661,3.0
15,-6.726131,3.6671376,0.43885058,1.5753351,0.1501663,0.59309745,-1.1264186,0.69845545,-1.2967905,0.6682543,-0.79782504,-1.1475986,-0.35758424,7.594693877551021,2144.731811398468,927.1700074193235,0.2920561999809451,0.08651603521646567,0.007924289,0.008655084,0.6599,0.6599,0.6599,4.0
16,-2.9785924,2.7833114,-1.4094919,1.2263592,-1.1768731,-0.6417788,-0.49533468,-0.7160493,0.07841986,-0.8642913,-0.38728482,0.10654763,-0.49756426,6.656009070294784,2109.496723010361,662.9682979202643,0.1361913381968641,0.06767626388540536,0.028918825,0.02269459,1.0,0.6591,1.0,3.33
